Clusters,Year,Clay%,innundation_length,ZONE,SEASON,Pool,mntd.result_A.mntd.obs.z,mpd.result_A.mpd.obs.z,MNTD,MNTD_REDO,MPD,MPD_REDO,PDfaith,Richness,CWV.LA,CWM.LA,CWV.H,CWM.H
B2_E_E,2,27,2,E,E,B,-0.944617803,-0.732729882,-0.906721016,-0.808456051,-0.782922555,-0.701852837,-0.658895267,5,12.64342891,9.23,128.1115222,31.4
B2_L_E,2,27,2,E,L,B,-0.192229657,-0.525072574,-0.170086443,-0.153585758,-0.449588528,-0.410330182,-0.035511465,7,12.64342891,20.87857143,128.1115222,39
B2_M_E,2,27,2,E,M,B,-0.944617803,-0.732729882,-0.906721016,-0.808456051,-0.782922555,-0.701852837,-0.728364356,5,123.4098137,9.23,308.8641649,31.4
B2_E_U,2,17,0,U,E,B,0.957856123,0.359974704,0.981256276,0.974625956,0.380488724,0.34477469,0.851337498,4,11.95773256,10.725,126.6781184,36.25
B2_L_U,2,17,0,U,L,B,-0.384482465,0.191747315,-0.302249546,-0.272428218,-1.055533905,0.270657293,-0.745740618,12,31.77887421,76.425,308.5623679,59.75
B2_M_U,2,17,0,U,M,B,1.405752419,0.975009019,1.484567584,1.456709083,0.957637676,0.934764409,1.394954667,6,10454.46856,13.41666667,1142.678118,46.66666667
B3_E_B,3,82,0,B,E,B,0.677663773,0.278171524,0.723929009,0.701133608,0.305144064,0.301002225,0.67135304,4,2.476653013,6.025,143.5010571,23.5
B3_L_B,3,82,0,B,L,B,1.018146153,0.053452741,1.089665462,1.026184912,0.104217142,0.063542098,0.926756383,9,582.8580484,33.96111111,473.6490486,41.33333333
B3_M_B,3,82,0,B,M,B,-0.415631919,-0.577560682,-0.295410288,-0.346698514,-0.538467475,-0.56242971,-0.356833789,5,662.4406395,6.02,712.6020085,25.8
B3_E_E,3,27,0,E,E,B,0.557613923,0.317855071,0.572299504,0.608482021,0.307910856,0.293349094,0.496007893,3,7.335183668,9.3,96.69503171,31.66666667
B3_L_E,3,27,0,E,L,B,0.433190543,0.831676625,0.495358139,0.469453046,0.842248396,0.82475719,0.775559658,7,40.10494054,24.67857143,559.0417548,55.42857143
B3_M_E,3,27,0,E,M,B,0.104906367,0.238511118,0.146008034,0.132057265,0.299417507,0.306250833,0.285754022,6,288.0404902,17.525,314.0676533,42
B3_E_U,3,17,0,U,E,B,0.482799259,0.085394044,0.500816913,0.497835467,0.123245705,0.121411029,0.350782691,3,11.95773256,8.966666667,126.6781184,31.66666667
B3_L_U,3,17,0,U,L,B,-0.719968572,-1.292853409,-0.606332123,-0.649237667,-1.101591323,-1.245887795,-1.154009726,11,156.7587526,88.83636364,835.4122622,72.72727273
B3_M_U,3,17,0,U,M,B,1.697770184,1.429152649,1.767310969,1.707321097,1.368260795,1.435223919,1.672795351,6,10630.75253,18.25,1226.208774,50.83333333
C1_E_B,1,73,4,B,E,C,0.271900624,0.249134582,0.249884055,0.193298968,0.241284765,0.207178966,0.217590683,2,6.340206501,9.5,67.97040169,25
C1_L_B,1,73,4,B,L,C,1.128846772,-0.447743111,1.259870518,1.230326972,-0.440088135,-0.418303691,1.094698011,11,6.99832278,30.31818182,107.0866808,46
C1_M_B,1,73,4,B,M,C,0.337547179,-0.747715757,0.445103679,0.388336776,-0.679652743,-0.756320193,0.241682118,8,590.291198,18.86875,704.8033827,31.25
C1_E_E,1,38,2,E,E,C,-0.13405546,-0.1860225,-0.073755781,-0.063219829,-0.180133598,-0.236694089,-0.089830809,3,35.64237183,19.8,100.8308668,38.33333333
C1_L_E,1,38,2,E,L,C,0.527728335,1.005841261,0.624585592,0.562220944,1.053525694,0.999633032,0.810240331,7,69.20896802,24.54285714,111.2827696,65.14285714
C1_M_E,1,38,2,E,M,C,-0.546655363,0.649574572,-0.437080061,-0.467740969,0.739025011,0.704425235,0.258402415,11,99.21944371,21.22272727,572.7336152,53.90909091
C1_E_U,1,20,0,U,E,C,-0.264958459,-0.173585016,-0.151646674,-0.129414147,-0.085748599,-0.126085697,-0.084559682,5,69.5120666,22.48,312.7378436,43
C1_L_U,1,20,0,U,L,C,-2.133104945,-0.259375599,-2.220826599,-2.090249864,-1.295773417,-0.190463456,-2.177472018,14,141.4025529,75.75714286,517.3081395,62.85714286
C1_M_U,1,20,0,U,M,C,-0.246956777,1.694733837,-0.138622209,-0.173982207,1.755970926,1.738675889,1.108830193,15,160.4825529,23.23333333,941.2193446,50.33333333
C2_E_B,2,73,2,B,E,C,0.29877819,0.292387872,0.451081472,0.409424067,0.29181423,0.260193511,0.399122178,6,6.335110994,4.075,59.65539112,28
C2_L_B,2,73,2,B,L,C,0.640889177,-2.410189275,0.724920562,0.72784567,-2.383398481,-2.252006442,-0.031318899,12,7.000438689,27.04166667,84.01849894,39.75
C2_M_B,2,73,2,B,M,C,-0.530147785,0.223878566,-0.359232095,-0.457224931,0.22557958,0.213586841,-0.059466219,8,707.5276044,25.05625,559.0443975,41
C2_E_E,2,38,1,E,E,C,-0.990624323,-0.933401093,-1.013329662,-0.917788442,-0.945935362,-0.843138784,-0.86253509,4,7.286485201,7.5375,74.88107822,29.25
C2_L_E,2,38,1,E,L,C,-0.653894701,-0.432670621,-0.591743978,-0.585837218,-0.357718996,-0.330178492,-0.435863848,7,67.66948599,26.43571429,398.8541226,40.57142857
C2_M_E,2,38,1,E,M,C,0.176830667,0.646562077,-0.024171482,-0.044739921,-0.237394889,-0.161660623,-0.237201774,8,145.4202894,11.55625,676.2452431,47.125
C2_E_U,2,20,0,U,E,C,0.957856123,0.359974704,0.981256276,0.974625956,0.380488724,0.34477469,0.839433564,4,6.594519027,10.725,74.88107822,36.25
C2_L_U,2,20,0,U,L,C,0.811672653,0.686401585,1.24246885,1.456681626,-0.274573738,0.876616552,0.554851949,14,67.68056554,82.76428571,478.1580338,61.21428571
C2_M_U,2,20,0,U,M,C,0.694479455,1.151831222,1.333134737,1.305406376,1.272668907,1.319998865,1.455421843,9,10435.15573,22.28888889,1396.617336,62.22222222
C3_E_B,3,73,0,B,E,C,0.59266286,0.312335136,0.577044527,0.536877316,0.308058097,0.303485773,0.475364054,3,6.341834038,7.833333333,42.53435518,21.66666667
C3_L_B,3,73,0,B,L,C,0.572047129,-1.706492988,0.63066531,0.575041188,-1.819485684,-1.627208987,0.023583574,12,86.94116279,26.33333333,340.7204017,45
C3_M_B,3,73,0,B,M,C,0.477139515,0.334017277,0.59576953,0.48977778,0.385881151,0.347024645,0.666591456,7,671.6262896,13.51428571,859.2262156,40.71428571
C3_E_E,3,38,0,E,E,C,0.557613923,0.317855071,0.572299504,0.608482021,0.307910856,0.293349094,0.504238669,3,7.286485201,9.3,74.88107822,31.66666667
C3_L_E,3,38,0,E,L,C,-0.436144124,0.719417792,-0.323019907,-0.362858861,0.748142785,0.732847103,0.2797218,10,142.6299934,29.505,679.2658562,58
C3_M_E,3,38,0,E,M,C,0.619927356,0.892183224,0.748577305,0.692671111,0.957991579,0.95554382,1.005816474,8,377.56956,20.80625,874.384778,52.875
C3_E_U,3,20,0,U,E,C,0.944686298,0.277263662,1.004669509,1.025978156,0.352242524,0.375009459,0.793161474,4,26.19599894,14.225,81.96353066,28.75
C3_L_U,3,20,0,U,L,C,-1.262487367,-0.494378075,-0.714524101,-0.753867684,-0.127066591,-0.158129808,-0.816958074,15,194.1344767,79.34666667,555.6553911,68
C3_M_U,3,20,0,U,M,C,2.029078662,1.163009319,2.498248253,2.516598203,1.060528259,1.131432842,2.216088857,8,10574.43047,28.7375,1469.826638,48.75
